user_id,weightage,bronze,silver,gold,question title
194000,0.188404,191,104,33,Store array of string values in column in pandas?
1179880,0.179725,169,86,35,Faster method of looping through pixels
140100,0.173946,167,101,30,converting dataframe to list of tuples on condition
316082,0.102248,110,59,17,AttributeError: module &#39;mypandas&#39; has no attribute &#39;print_pandas_df&#39;
559827,0.093413,132,57,13,On the default/fill value for outer joins
559827,0.093413,132,57,13,On the default/fill value for *multi-key* outer joins
213334,0.092479,107,53,15,Convert pandas dataframe column with xml data to normalised columns?
213334,0.092479,107,53,15,How to handle JSON documents that have float values with no leading zeroes before decimal points?
213334,0.092479,107,53,15,How to import normalised json data from several files into a pandas dataframe?
626537,0.082347,118,52,11,pandas: error on DataFrame.unstack
2411320,0.079818,75,36,16,sklearn SVM performing awfully poor
222151,0.076292,74,40,14,Mean of a Pandas Panel
222151,0.076292,74,40,14,"Pandas, Concurrent.Futures and the GIL"
405818,0.073932,74,36,14,Fill missing values of 1 data frame from another data frame using pandas
1317018,0.067227,78,38,11,"Converting python tuple, lists, dictionaries containing pandas objects (series/dataframes) to json"
53491,0.066689,87,49,8,"How to delete duplicates, but keep the first instance and a blank cell for the duplicates in Pandas?"
3510736,0.053016,75,39,6,Is There Complete Overlap Between `pd.pivot_table` and `pd.DataFrame.groupby` + `pd.DataFrame.unstack`?
274392,0.050656,75,35,6,Python Pandas - how is 25 percentile calculated by describe function
668624,0.044811,65,28,6,pd.read_csv by default treats integers like floats
668624,0.044811,65,28,6,determine length (or number of digits) of every row in column
668624,0.044811,65,28,6,testing for NaN values: df[df[&#39;col1&#39;] == np.nan] does NOT equal np.isnan(df[&#39;col1&#39;])
328725,0.042623,66,24,6,Trying to plot a dataframe with missing values (None)
2146894,0.042619,62,30,5,How to make a group id using pandas
104969,0.040661,58,23,6,Calculating weighted moving average using pandas Rolling method
48956,0.039152,55,31,4,pandas.Series.get fails with: object has no attribute &#39;values&#39;
998967,0.038184,47,22,6,Pandas - column not found in dataframe
2251840,0.037611,50,25,5,How to compare dataframe unique values with a list?
1708772,0.036829,42,26,5,Python Conditionally Add Class to &lt;td&gt; Tags in HTML Table
2213669,0.036356,53,22,5,Python: creating a group column in a Pandas dataframe based on an integer range of values
992600,0.035859,53,26,4,Convert column&#39;s data to enumerated dictionary key-value
2342399,0.034891,45,17,6,pandas: rename axis in df
2336654,0.032319,53,20,4,twist dataframe by rank
2336654,0.032319,53,20,4,find the manhatten sum of a dataframe given two points
2336654,0.032319,53,20,4,how to use the `query` method to check if elements of a column contain a specific string
2336654,0.032319,53,20,4,convenient way to reindex one level of a multiindex
2336654,0.032319,53,20,4,How do I display floats as currency with negative sign before currency
2336654,0.032319,53,20,4,How do I replace all values equal to x in nth level of a multi index
2336654,0.032319,53,20,4,extend a pandas datetimeindex by 1 period
420892,0.02809,45,20,3,Pandas replace a character in all column names
1052985,0.025671,28,16,4,Plot multiple series with non-overlapping x-axis
2821224,0.025671,28,16,4,"Pandas, split dataframe by monotonic increase of column value"
2821224,0.025671,28,16,4,Panda group dataframe based on datetime type into different period ignoring date part
2821224,0.025671,28,16,4,Panda how to groupby rows into different time buckets?
2821224,0.025671,28,16,4,Pandas how to split dataframe by column by interval
2378710,0.024512,35,12,4,Group data into classes with numpy
2378710,0.024512,35,12,4,Elementwise operation on pandas series
2378710,0.024512,35,12,4,Concatenate numpy array to pandas dataframe
1625098,0.02291,32,15,3,Convert range to timestamp in Pandas
1231450,0.022855,42,12,3,Pandas dataframe slicing
1231450,0.022855,42,12,3,DataFrame value startswith
948655,0.02209,37,17,2,Python Pandas select rows based on membership of another collection (set)
454773,0.021785,45,19,1,Setting a row index on and querying a pandas dataframe with multi-index columns
1118236,0.01996,32,10,3,Pandas Dataframe return index with inaccurate decimals
847663,0.018739,41,15,1,How to measure the memory footprint of importing pandas?
1609428,0.018454,33,12,2,how to slice and combine specific row values in a Pandas groupby?
1479974,0.017826,23,9,3,Pandas: How to open certain files
1479974,0.017826,23,9,3,pandas: replace string with another string
1479974,0.017826,23,9,3,pandas: slice dataframe based on NaN
1479974,0.017826,23,9,3,python: best way convey missing value count
1479974,0.017826,23,9,3,Pandas: create word cloud from a column with strings
1479974,0.017826,23,9,3,Pandas: remove encoding from the string
1479974,0.017826,23,9,3,pandas: extract date and time from timestamp
1082349,0.017216,39,13,1,Parallelize groupby with multiple arguments
1082349,0.017216,39,13,1,Efficiently collect links in dataframe
1082349,0.017216,39,13,1,Pandas replaces NAN with arbitrary number when to_latex
1496984,0.015634,20,11,2,scikit-learn - train_test_split and ShuffleSplit yielding very different results
1496984,0.015634,20,11,2,pandas - Merging on string columns not working (bug?)
1290147,0.014681,34,15,0,Merging mutliple pandas dfs time series on DATE index and which are contained in a python dictionary
2752265,0.014417,33,10,1,Count how many attributes have a word as a substring of longer text value
2752265,0.014417,33,10,1,How to use a pandas DataFrame as data parameter in Seaborn lmplot
2752265,0.014417,33,10,1,Finding value of another attribute given an attribute
440732,0.013961,24,7,2,sum of &#39;float64&#39; column type in pandas return float instead of numpy.float64
1887261,0.013673,35,13,0,Select certain row values and make them columns in pandas
2179021,0.012418,38,10,0,Pandas groupby where all columns are added to a list prefixed by column name
2179021,0.012418,38,10,0,How to swap columns conditionally in pandas
2179021,0.012418,38,10,0,How to separate a numpy array into separate columns in pandas
2179021,0.012418,38,10,0,How to create an adjacency list from an edge list efficiently
2179021,0.012418,38,10,0,How to divide the sum with the size in a pandas groupby
2769240,0.012016,19,10,1,Running a Python function on Spark Dataframe
4759209,0.011961,29,7,1,Pandas.read_csv() with special characters (accents) in column names �
1236336,0.011865,25,8,1,Filtering / smoothing a step function to retrieve biggest increments
3993270,0.011046,30,10,0,pyspark error: AttributeError: &#39;SparkSession&#39; object has no attribute &#39;parallelize&#39;
3993270,0.011046,30,10,0,pandas histogram: plot histogram for each column as subplot of a big figure
3993270,0.011046,30,10,0,pandas: find percentile stats of a given column
3993270,0.011046,30,10,0,python pandas: date/time function to compute time period
3993270,0.011046,30,10,0,pandas: Using color in a scatter plot
1700890,0.011007,20,8,1,"Pandas crosstab, but with values from aggregation of third column"
2242044,0.010874,29,10,0,getting percentage of values meeting conditions within a Pandas group by
2242044,0.010874,29,10,0,Adding Grouped Dataframes
1568919,0.010493,17,8,1,Pandas - Expand DataFrame by fetching data using one column
1568919,0.010493,17,8,1,pandas elementwise difference between two DatetimeIndex
1764089,0.010188,25,10,0,sqlalchemy / pandas - How do I create an sqlalchemy `selectable` to pass to pd.read_sql?
1754273,0.009903,17,7,1,Solving sets of non-linear equations as an array
1269634,0.009769,26,9,0,How can I resample a DataFrame so that it is properly aligned with another DataFrame?
969907,0.009656,19,6,1,Pandas - applying groupings and counts to multiple columns in order to generate/change a dataframe
2204131,0.009581,22,5,1,Pandas: strip numbers and parenthesis from string
2370863,0.009255,23,9,0,Filtering a multiindex dataframe based on column values dropping all rows inside level
1718097,0.008798,14,6,1,Converting between projections using pyproj in Pandas dataframe
433253,0.008665,23,8,0,BeautifulSoup table object with rowspan to pandas dataframe
